altitude,rotation,airspeed
000030,000020,000292
000030,000020,002068
000030,000020,003325
000030,000020,001847
000030,000020,000096
000031,000060,000000
000031,000060,000000
000030,000060,000000
000030,000060,000000
000030,000020,000069
000030,000020,000069
000030,000060,000253
000030,000060,000367
000030,000060,000183
000031,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000198
000031,000060,000198
000031,000060,000180
000030,000060,001471
000030,000060,001824
000031,000060,002733
000031,000020,002564
000031,000020,002534
000031,000020,001925
000031,000020,002048
000031,000020,001868
000030,000020,001394
000030,000060,001213
000030,000060,000594
000030,000020,001894
000031,000020,002268
000031,000020,002954
000030,000020,001411
000030,000020,001487
000030,000020,001553
000030,000020,002624
000030,000020,002563
000030,000080,002381
000030,000020,004232
000030,000020,003649
000030,000020,003497
000030,000020,001993
000030,000020,002207
000030,000020,001191
000030,000020,001457
000030,000060,001949
000030,000020,003122
000030,000040,002974
000030,000040,002836
000030,000020,001799
000030,000020,000998
000030,000040,000187
000030,000040,000187
000030,000040,001087
000031,000040,001231
000030,000040,000251
000030,000040,000170
000030,000040,003982
000030,000040,004784
000030,000140,004954
000030,000060,004927
000030,000020,001050
000030,000020,000590
000030,000020,000652
000030,000040,000626
000030,000080,000746
000030,000040,000646
000030,000080,000646
000030,000080,000623
000030,000080,000551
000031,000080,000564
000031,000080,000553
000030,000080,000711
000030,000080,000951
000030,000020,001557
000030,000020,001819
000030,000020,002937
000030,000020,002317
000030,000020,000966
000030,000020,000656
000030,000020,000676
000030,000020,001336
000030,000020,002405
000030,000020,002298
000030,000020,001218
000030,000020,001438
000030,000020,001498
000030,000020,001195
000030,000020,001685
000030,000020,001786
000030,000020,001865
000030,000040,001987
000030,000040,001975
000030,000040,002108
000030,000040,001177
000030,000040,001532
000030,000040,001470
000031,000040,001468
000031,000040,001566
000031,000040,002043
000031,000020,001496
000030,000020,001638
000030,000040,001257
000030,000040,001046
000030,000040,000655
000030,000040,000762
000030,000040,000107
000030,000040,000107
000030,000020,000198
000030,000040,000592
000030,000020,000650
000030,000020,000701
000031,000020,002384
000030,000020,002813
000030,000020,002906
000030,000020,002238
000030,000020,002750
000030,000020,002910
000030,000040,003004
000030,000060,002512
000030,000040,001336
000030,000020,001198
000030,000020,001350
000030,000020,001499
000030,000020,001544
000030,000020,001410
000031,000020,001029
000031,000060,001029
000031,000020,000491
000030,000020,000436
000030,000020,000515
000030,000020,000626
000030,000020,000576
000030,000040,000703
000030,000020,000751
000030,000020,000706
000030,000020,000515
000030,000020,000320
000030,000020,000256
000030,000120,000256
000030,000060,000177
000030,000080,000430
000030,000080,000731
000030,000080,001041
000030,000080,000924
000030,000020,000746
000030,000040,000746
000030,000080,000513
000030,000060,000682
000030,000060,000725
000030,000060,000552
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000031,000060,000000
000031,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000108
000030,000060,000223
000030,000060,000114
000030,000060,000114
000030,000060,000000
000030,000060,000101
000030,000060,000349
000030,000060,000248
000030,000060,000219
000030,000060,000172
000030,000060,000182
000030,000060,000216
000030,000060,000114
000030,000060,000098
000030,000060,000108
000030,000060,000108
000030,000060,000000
000030,000060,000000
000030,000060,000101
000030,000060,000101
000030,000060,000000
000030,000060,000000
000030,000060,000100
000030,000060,000198
000030,000060,000286
000030,000060,000277
000030,000060,000166
000030,000060,000077
000030,000060,000077
000030,000060,000000
000030,000060,000086
000030,000060,000086
000030,000060,000086
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000076
000030,000060,000076
000030,000060,000076
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000047
000030,000060,000134
000030,000060,000230
000030,000060,000183
000030,000060,000294
000030,000060,000405
000030,000060,000206
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000060,000000
000030,000020,000000
000030,000020,000061
000030,000020,000061
000030,000020,000061
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000110
000030,000020,000110
000030,000020,000110
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000084
000030,000020,000172
000030,000020,000172
000030,000020,000088
000030,000020,000000
000030,000020,000000
000030,000020,000112
000030,000020,000112
000030,000020,000000
000030,000020,000046
000030,000020,000147
000030,000020,000235
000030,000020,004267
000030,000020,004185
000030,000020,004089
000030,000020,000199
000030,000020,000092
000030,000020,000092
000030,000020,000000
000030,000020,000000
000030,000020,000128
000030,000020,000266
000030,000020,000266
000030,000020,000137
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000088
000030,000020,000186
000030,000020,000188
000030,000020,001509
000030,000020,001428
000030,000020,000107
000030,000020,000197
000030,000020,000090
000030,000020,000197
000030,000020,000107
000030,000020,000107
000030,000020,000000
000030,000020,000093
000030,000020,000200
000030,000020,000200
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000085
000030,000020,002606
000030,000020,002606
000030,000020,002521
000030,000020,000022
000030,000020,000112
000030,000020,000089
000030,000020,000089
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000036
000030,000020,000036
000030,000020,000036
000030,000020,000000
000030,000020,000000
000030,000020,000192
000030,000020,000192
000030,000020,000192
000030,000020,000092
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000108
000030,000020,000174
000030,000020,000065
000030,000020,000065
000030,000020,000000
000030,000020,000114
000030,000020,000220
000030,000020,000194
000030,000020,000088
000030,000020,000088
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000206
000030,000020,000206
000030,000020,000206
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000096
000030,000020,000096
000030,000020,000091
000030,000020,000091
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000046
000030,000020,000046
000030,000020,000046
000030,000020,000000
000030,000020,000080
000030,000020,000180
000030,000020,000180
000030,000020,000100
000030,000020,000080
000030,000020,000080
000030,000020,000080
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000096
000030,000020,000096
000030,000020,000294
000030,000020,000198
000030,000020,000198
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000030
000030,000020,000030
000030,000020,000030
000030,000020,000000
000030,000020,000000
000030,000020,000074
000030,000020,000074
000030,000020,000074
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000103
000030,000020,000103
000030,000020,000103
000030,000020,000108
000030,000020,000354
000030,000020,000458
000030,000020,000325
000030,000020,000222
000030,000020,000103
000030,000020,000108
000030,000020,000108
000030,000020,000027
000030,000020,000074
000030,000020,000172
000030,000020,000172
000030,000020,000124
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000031
000030,000020,000031
000030,000020,000123
000030,000020,003952
000030,000020,004060
000030,000020,000197
000030,000020,000200
000030,000020,000110
000030,000020,000210
000030,000020,000100
000030,000020,000100
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000102
000030,000020,000216
000030,000020,000113
000030,000020,000113
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000113
000030,000020,000113
000030,000020,000236
000030,000020,000344
000030,000020,000320
000030,000020,000320
000030,000020,000178
000030,000020,001018
000030,000020,001018
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000102
000030,000020,000191
000030,000020,000276
000030,000020,000381
000030,000020,000206
000030,000020,000088
000030,000020,000000
000030,000020,000127
000030,000020,000127
000030,000020,000110
000030,000020,000287
000030,000020,000287
000030,000020,000176
000030,000020,000061
000030,000020,000171
000030,000020,000318
000030,000020,000318
000030,000020,000208
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000046
000030,000020,000219
000030,000020,000219
000030,000020,000172
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000107
000030,000020,000146
000030,000020,000146
000030,000020,000038
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000100
000030,000020,000199
000030,000020,000199
000030,000020,000098
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000040,000000
000030,000020,000058
000030,000020,000058
000030,000020,000058
000030,000040,000058
000030,000060,000238
000030,000020,000280
000030,000020,000280
000030,000020,000280
000030,000020,000101
000030,000040,000000
000030,000020,000000
000030,000020,000000
000030,000220,000076
000030,000340,000076
000030,000400,000076
000030,000420,000076
000030,000460,000076
000030,000440,000076
000030,000480,000000
000030,000460,000000
000030,000440,000000
000030,000460,000000
000030,000460,000000
000030,000420,000000
000030,000300,000000
000030,000200,000386
000030,000100,000386
000030,000020,000386
000030,000020,000386
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000078
000030,000020,000078
000030,000020,000078
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000110
000030,000020,000761
000030,000020,000650
000030,000020,000094
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000092
000030,000020,000092
000030,000020,000092
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000000,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000096
000030,000020,000096
000030,000020,000096
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000092
000030,000020,000092
000030,000020,000092
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000112
000030,000020,000242
000030,000020,000320
000030,000020,000078
000030,000020,000078
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000189
000030,000020,000189
000030,000020,000189
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000029,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000029,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000098
000030,000020,000098
000030,000020,000098
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000360,000000
000030,000580,000000
000030,000700,000000
000030,000680,000072
000030,000600,000215
000030,000660,000412
000030,000720,000582
000030,000680,001002
000030,000720,001179
000030,000820,001272
000030,000880,001372
000030,000880,001308
000030,000860,001935
000030,000860,003345
000030,000860,004399
000030,000880,005134
000030,000840,003341
000030,000840,001666
000030,000860,001262
000030,000860,000992
000030,000840,000825
000030,000820,000774
000030,000780,000668
000030,000800,000574
000031,000760,000501
000031,000480,000470
000030,000280,000522
000030,000120,000620
000030,000020,000904
000030,000020,000904
000030,000020,002218
000030,000020,002413
000030,000020,002778
000030,000020,003077
000030,000020,003589
000030,000020,003976
000030,000020,004660
000030,000020,005624
000030,000020,007562
000030,000020,009535
000030,000020,001788
000030,000020,000000
000030,000040,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000040,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000040,000000
000030,000080,000000
000030,000040,000100
000030,000040,000100
